"pred_ndx","pred_stat","pred_class","actual_class","pred_prob"
72352,"G",2,2,0.51998997
72353,"G",2,2,0.5204742
72354,"G",2,2,0.5206696
72355,"G",2,2,0.5221329
72357,"G",2,2,0.52001154
72358,"G",2,2,0.51940125
72359,"G",2,2,0.5196589
72360,"G",2,2,0.52047694
72361,"G",2,2,0.52065223
72362,"G",2,2,0.52091706
72364,"G",2,2,0.5208228
72365,"G",2,2,0.52097416
72370,"B",2,1,0.51930463
72372,"G",2,2,0.5202659
72373,"G",2,2,0.52175623
72374,"G",2,2,0.5241554
72375,"G",2,2,0.5226861
72376,"G",2,2,0.52233106
72377,"G",2,2,0.5237227
72378,"B",2,1,0.52131546
72379,"B",2,1,0.52358544
72387,"B",2,1,0.5272289
72388,"G",2,2,0.52721614
72389,"G",2,2,0.5275452
72390,"B",2,1,0.52062243
72391,"B",2,1,0.5211374
72392,"G",2,2,0.5261212
72393,"G",2,2,0.52884084
72394,"G",2,2,0.52630633
72395,"G",2,2,0.5267636
72396,"G",2,2,0.52575636
72397,"G",2,2,0.52475727
72398,"G",2,2,0.52180386
72399,"G",2,2,0.52237546
72400,"G",2,2,0.52676064
72401,"G",2,2,0.5248808
72402,"G",2,2,0.52557856
72403,"G",2,2,0.5297162
72404,"G",2,2,0.53088164
72405,"G",2,2,0.5233798
72406,"G",2,2,0.5302968
72407,"G",2,2,0.5300916
72408,"G",2,2,0.53058976
72409,"G",2,2,0.53058976
72410,"G",2,2,0.53058976
72411,"G",2,2,0.53018785
72412,"G",2,2,0.53222615
72413,"G",2,2,0.532743
72414,"G",2,2,0.5288273
72415,"G",2,2,0.5292103
72416,"G",2,2,0.52954656
72417,"G",2,2,0.5299078
72418,"G",2,2,0.527076
72419,"G",2,2,0.526646
72420,"B",2,1,0.5239374
72421,"G",2,2,0.52467614
72422,"G",2,2,0.5213883
72423,"G",2,2,0.5214635
72424,"G",2,2,0.52538234
72425,"G",2,2,0.5209223
72436,"G",2,2,0.5201128
72437,"G",2,2,0.5223223
72439,"G",2,2,0.52405816
72440,"G",2,2,0.5245509
72441,"G",2,2,0.52415615
72442,"G",2,2,0.5226051
72443,"G",2,2,0.5226051
72444,"G",2,2,0.5250874
72445,"G",2,2,0.5247297
72446,"G",2,2,0.5255416
72447,"G",2,2,0.52579165
72448,"G",2,2,0.52703035
72449,"G",2,2,0.5300147
72450,"G",2,2,0.5300851
72451,"G",2,2,0.5283551
72452,"G",2,2,0.5308791
72453,"G",2,2,0.52432615
72454,"G",2,2,0.5258373
72455,"G",2,2,0.52533793
72456,"G",2,2,0.524069
72457,"G",2,2,0.5254846
72458,"G",2,2,0.52845067
72459,"G",2,2,0.5277519
72460,"G",2,2,0.52829087
72461,"G",2,2,0.5209168
72462,"G",2,2,0.5214013
72463,"G",2,2,0.526165
72464,"G",2,2,0.5259971
72465,"G",2,2,0.5256189
72466,"G",2,2,0.5240823
72467,"B",2,1,0.5229319
72468,"B",2,1,0.52664673
72469,"G",2,2,0.52020156
72479,"B",2,1,0.5219386
72480,"B",2,1,0.5229689
72482,"B",2,1,0.52049375
72483,"B",2,1,0.52044165
72484,"B",2,1,0.520984
72485,"B",2,1,0.52265537
72486,"B",2,1,0.5235944
72487,"B",2,1,0.5211277
72494,"B",2,1,0.52015144
72495,"B",2,1,0.52063817
72496,"B",2,1,0.52122444
72497,"B",2,1,0.5224296
72498,"B",2,1,0.52054554
72499,"B",2,1,0.5206435
72500,"B",2,1,0.52566445
72501,"B",2,1,0.52921706
72502,"B",2,1,0.529945
72503,"B",2,1,0.5275449
72504,"B",2,1,0.53220403
72505,"B",2,1,0.5317744
72506,"B",2,1,0.52876866
72507,"B",2,1,0.52904093
72508,"B",2,1,0.5286541
72509,"B",2,1,0.5287987
72510,"B",2,1,0.52787334
72511,"B",2,1,0.5301255
72512,"B",2,1,0.5272928
72513,"B",2,1,0.5284448
72514,"B",2,1,0.5269394
72515,"B",2,1,0.5270452
72516,"B",2,1,0.52696204
72517,"B",2,1,0.5290301
72518,"B",2,1,0.52688015
72519,"B",2,1,0.5258434
72520,"B",2,1,0.5278181
72521,"B",2,1,0.529121
72522,"B",2,1,0.5284033
72523,"B",2,1,0.532038
72524,"B",2,1,0.53230196
72525,"B",2,1,0.5348295
72526,"B",2,1,0.5345835
72527,"B",2,1,0.5300474
72528,"B",2,1,0.5305164
72529,"B",2,1,0.53114915
72530,"B",2,1,0.5285527
72531,"B",2,1,0.5318532
72532,"B",2,1,0.53108674
72533,"B",2,1,0.5343762
72534,"B",2,1,0.5341599
72535,"B",2,1,0.532957
72536,"B",2,1,0.5383156
72537,"B",2,1,0.5389769
72538,"B",2,1,0.53917384
72539,"B",2,1,0.53347874
72540,"B",2,1,0.53333646
72541,"B",2,1,0.5286108
72542,"B",2,1,0.52988833
72543,"B",2,1,0.5275184
72544,"B",2,1,0.5297015
72545,"B",2,1,0.53089845
72546,"B",2,1,0.52501696
72547,"B",2,1,0.5254271
72548,"B",2,1,0.52516186
72549,"B",2,1,0.52366066
72550,"B",2,1,0.5248812
72551,"B",2,1,0.5241667
72552,"B",2,1,0.5261346
72553,"B",2,1,0.5229265
72554,"B",2,1,0.52693164
72555,"B",2,1,0.52274185
72556,"B",2,1,0.5299743
72557,"B",2,1,0.5280257
72558,"B",2,1,0.522256
72559,"B",2,1,0.52158636
72560,"B",2,1,0.52276236
72561,"B",2,1,0.5226397
72562,"B",2,1,0.5222956
72563,"B",2,1,0.52465874
72564,"B",2,1,0.52809006
72565,"B",2,1,0.5224538
72566,"B",2,1,0.5236622
72567,"B",2,1,0.52413857
72568,"B",2,1,0.52176255
72569,"G",2,2,0.52450424
