Symbol,Date,Open,High,Low,Close,Volume
A,24-Aug-2011,31.86,33.13,31.56,33.08,5674700
AA,24-Aug-2011,11.64,11.88,11.51,11.87,24322600
AAN,24-Aug-2011,25.32,26.18,25.15,25.48,767700
AAP,24-Aug-2011,57.89,59.2,57.75,59.14,1318200
AAR,24-Aug-2011,21.21,21.6,20.9,21.35,10200
AAT,24-Aug-2011,19.12,19.59,18.96,19.07,125800
AAV,24-Aug-2011,5.44,5.59,5.4,5.56,546000
AB,24-Aug-2011,14.52,15.35,14.52,15.27,406500
ABB,24-Aug-2011,20.46,20.82,20.22,20.59,2961200
ABC,24-Aug-2011,38.13,38.43,37.48,38.19,3106100
ABD,24-Aug-2011,5.96,6.22,5.92,6.13,160800
ABG,24-Aug-2011,17.17,17.96,17.05,17.72,464100
ABH,24-Aug-2011,16.05,16.29,15.91,16.03,339400
ABM,24-Aug-2011,19.52,20.01,19.31,20,205500
ABR,24-Aug-2011,3.96,4.05,3.92,4.01,68700
ABT,24-Aug-2011,50.28,51.12,50.15,51.11,6938000
ABV,24-Aug-2011,33.43,34.14,33.15,33.71,3942800
ABV.C,24-Aug-2011,26.99,27.36,26.75,27.23,12800
ABVT,24-Aug-2011,57.06,58.91,56.93,58.62,121300
ABW-A,24-Aug-2011,25.04,25.05,24.89,24.95,11800
ABX,24-Aug-2011,49.88,50.39,48.02,48.99,13221400
ACC,24-Aug-2011,36.26,37.59,36.17,37.5,1261100
ACE,24-Aug-2011,61.82,63.12,61.53,62.59,2510300
ACG,24-Aug-2011,8.02,8.04,7.93,7.95,616300
ACH,24-Aug-2011,16.75,17.05,16.6,16.96,254100
ACI,24-Aug-2011,18.09,18.85,17.97,18.79,5864500
ACM,24-Aug-2011,19.99,21.14,19.85,21.01,1348100
ACN,24-Aug-2011,50.24,51.09,49.9,50.98,5641000
ACO,24-Aug-2011,28.33,29.09,28.33,28.87,125800
ACP,24-Aug-2011,16.5,16.81,16.1,16.43,62900
ACTV,24-Aug-2011,16.85,16.92,16.57,16.89,47200
ACW,24-Aug-2011,6.96,7.36,6.87,7.32,490400
ADC,24-Aug-2011,21.73,22.35,21.33,21.42,72200
ADI,24-Aug-2011,32.56,32.56,31.79,32.35,5743600
ADM,24-Aug-2011,28.12,28.45,27.94,28.43,4367500
ADS,24-Aug-2011,86.58,88.96,86.25,88.78,803300
ADX,24-Aug-2011,9.51,9.7,9.51,9.7,71800
ADY,24-Aug-2011,5.98,6.2,5.91,6.2,21700
AEA,24-Aug-2011,8.26,8.56,8.09,8.33,450400
AEB,24-Aug-2011,17.42,17.98,17.38,17.98,26100
AEC,24-Aug-2011,16.76,17,16.38,16.85,500300
AED,24-Aug-2011,20.05,20.79,20.05,20.77,39400
AEE,24-Aug-2011,28.83,29.52,28.72,29.49,1883300
AEF,24-Aug-2011,22.65,23.36,22.53,23.2,141300
AEG,24-Aug-2011,4.23,4.32,4.2,4.29,824400
AEH,24-Aug-2011,19.9,20.62,19.9,20.46,55200
AEL,24-Aug-2011,9.46,9.73,9.4,9.71,817200
AEM,24-Aug-2011,65.86,66.38,64.36,65.72,2979600
AEO,24-Aug-2011,10.78,10.85,10.01,10.6,22727700
AEP,24-Aug-2011,37.57,38.27,37.53,38.21,3965700
